Date,Gold Price,Tonnes,North_America,Europe,Asia,Other
2006-03-31,582.0,498.70225851,403.15739865,74.28043715,0.0,21.26442271
2006-04-28,644.0,524.17728606,417.86282950000003,84.59393306,0.0,21.720523500000002
2006-05-31,653.0,516.98370284,411.38683116,83.53258798,0.0,22.0642837
2006-06-30,613.5,547.51990872,432.90827239,92.22980224,0.0,22.381834089999998
2006-07-31,632.5,561.84825714,446.80762575,92.40302510000001,0.0,22.637606289999997
2006-08-31,623.5,569.86956785,455.17617275000003,93.08529052,0.0,21.60810458
2006-09-29,599.25,564.8058279,449.24812732,92.72336899,0.0,22.834331589999998
2006-10-31,603.75,571.72909205,451.05443464,97.91735674,0.0,22.75730067
2006-11-30,646.7,632.36605173,503.98105705,105.31635641,0.0,23.06863827
2006-12-29,635.7,643.88704706,517.49807824,102.76487749,0.0,23.62409133
2007-01-31,650.5,642.05601416,514.33620778,103.72020072999999,0.0,23.99960565
2007-02-28,664.2,676.37303286,546.1787657,105.07087303,0.0,25.12339413
2007-03-30,661.75,682.53778038,548.98123243,106.73494,1.02838461,25.79322334
2007-04-30,677.0,696.73421848,558.49820787,109.73606079,2.49576611,26.00418371
2007-05-31,659.1,676.07789285,534.50377715,110.9892461,2.7661153699999996,27.81875423
2007-06-29,650.5,678.75509385,530.35165335,116.88151509,2.9692386600000003,28.55268675
2007-07-31,665.5,715.66353048,563.36854089,119.08552845,2.98922758,30.22023356
2007-08-31,672.0,740.75535905,582.99992909,121.6186416,3.37499263,32.76179573
2007-09-28,743.0,816.95121083,648.2577234,130.48606324,3.4288518100000003,34.77857238
2007-10-31,789.5,849.93587929,670.19842648,139.33117471999998,3.39593317,37.01034492
2007-11-30,783.5,861.12266743,675.88221223,142.16855415,4.4981187600000005,38.57378229
2007-12-31,836.5,895.95213434,703.5941394900001,144.48413782,4.3846997299999995,43.489157299999995
2008-01-31,923.25,924.15989713,711.59022523,160.17621915,4.04132663,48.35212612000001
2008-02-29,971.5,942.74095823,720.04378563,169.26868050000002,4.00163845,49.42685365
2008-03-31,933.5,968.20050695,724.91994535,186.54050431000002,3.9014292800000003,52.838628009999994
2008-04-30,871.0,908.60458348,663.24075733,189.91165209,3.91406819,51.538105869999995
2008-05-30,885.75,923.30117722,681.3475413699999,195.12862588000002,4.244799690000001,42.580210279999996
2008-06-30,930.25,973.13456902,725.69388898,200.61020107,4.312033830000001,42.51844514
2008-07-31,918.0,1039.84566423,754.87024691,235.95120018999998,4.38220674,44.64201039
2008-08-29,833.0,1017.9158314,731.1772010000001,238.34189646,4.8350982600000005,43.56163568
2008-09-30,884.5,1123.50892984,834.7439595799999,242.39764956,4.9552761,41.4120446
2008-10-31,730.75,1159.4760055,833.04294651,281.28292493,3.7220092,41.42812485999999
2008-11-28,814.5,1174.70234633,844.2808750300001,285.53149229,3.75443143,41.13554758
2008-12-31,865.0,1222.44872513,869.99655056,304.62719794000003,5.41073837,42.414238260000005
2009-01-30,919.5,1322.10599612,934.4928380900001,338.83884551,5.24887839,43.52543413
2009-02-27,952.0,1545.74958292,1117.91556767,377.79071447,5.04649638,44.9968044
2009-03-31,916.5,1678.05172681,1217.1318821300001,411.5645927600001,4.866193099999999,44.48905882
2009-04-30,883.25,1675.63117868,1194.85242378,432.17431885999997,4.86926136,43.73517467999999
2009-05-29,975.5,1717.91851773,1221.17816506,443.93630316,4.89881094,47.90523857
2009-06-30,934.5,1732.62794844,1223.5242290899998,450.12432901,5.7708436700000005,53.208546670000004
2009-07-31,939.0,1700.09804003,1179.87794097,455.20611227000006,5.84628965,59.167697139999994
2009-08-31,955.5,1713.2948514,1168.3367949199999,479.16621651,5.8900363,59.90180367
2009-09-30,995.75,1782.56375511,1207.7506157100001,501.61054469000004,6.460054540000001,66.74254017000001
2009-10-30,1040.0,1826.54374229,1222.81059443,528.5577020300001,6.637866020000001,68.53757981000001
2009-11-30,1175.75,1871.1493252,1263.72152011,530.09693319,6.7635266,70.5673453
2009-12-31,1104.0,1861.75914519,1265.78547806,517.54442808,7.91750313,70.51173591999999
2010-01-29,1078.5,1840.5984341,1244.9399301699998,517.33037695,8.67083862,69.65728836000001
2010-02-26,1108.25,1858.1123666,1246.4295766900002,533.30736435,9.25554438,69.11988118000001
2010-03-31,1115.5,1883.72559593,1262.71226846,544.4301569500001,9.68629645,66.89687407
2010-04-30,1179.25,1931.92301802,1293.2187908399999,563.2656325500001,9.93179294,65.50680169
2010-05-31,1207.5,2101.30473888,1418.42183848,610.89673585,9.93360517,62.052559380000005
2010-06-30,1244.0,2184.11095445,1473.94223342,634.12985939,9.95965396,66.07920768000001
2010-07-30,1169.0,2154.21658908,1442.52610494,634.0733622500001,11.734449079999997,65.88267281
2010-08-31,1246.0,2201.29704572,1469.79765614,650.29260897,13.86285106,67.34392955
2010-09-30,1307.0,2237.69400695,1488.07220047,667.6376160899999,15.68912669,66.29506369999999
2010-10-29,1346.75,2236.64725345,1480.2720668499999,673.57223204,16.29818211,66.50477245
2010-11-30,1383.5,2245.70882655,1480.20409263,679.5356218799999,18.21928317,67.74982887000002
2010-12-31,1410.25,2268.59449716,1485.80794275,695.91069014,19.38234327,67.493521
2011-01-31,1327.0,2193.91411013,1426.1047168599998,680.69232264,20.20105038,66.91602024999999
2011-02-28,1411.0,2190.26112556,1419.95177417,684.9737553899998,20.401819680000003,64.93377632
2011-03-31,1439.0,2215.38753171,1427.9522111199997,700.26718912,23.263970540000003,63.904160929999996
