Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Region
Kazakhstan,29.91056508,35.5702226,37.270349904,44.09036969041457,42.592971244,51.999624164,58.721267487999995,67.214153952,73.894107716,74.624935556,79.200150304,76.60607794399999,81.86105595999999,Commonwealth of Independent States
Kyrgyzstan,18.960343552109816,19.687898958570326,11.34754758112771,20.218057697073103,19.34924429127572,18.68782850999831,21.24986679313977,21.046002311715,21.926364608380325,26.0,24.285990707972104,25.676102507687588,29.34404216706782,Commonwealth of Independent States
Other,9.596380698972325,9.02493632339906,8.200764713273088,8.677667315675762,9.117043282871123,11.892691370750128,12.596840594600451,18.649158936626634,18.12385488500172,20.62342338065264,20.279895551405616,18.51049052812209,18.40783554505572,Commonwealth of Independent States
China,351.12624200000005,371.20674699999995,413.29666100000003,438.413053,462.04915500000004,460.302963,463.73647594199997,429.14000000000004,404.12000000000006,383.2,368.34,331.982938,375.04799999999994,Asia
Indonesia,132.26383473179018,110.2213018755611,82.6116424329596,89.9905812429481,93.46598871772274,115.10061582629044,118.42807753372672,117.60914920748714,153.0,92.30475850423723,100.9,116.44665230773901,124.9274816956223,Asia
Philippines,40.847,38.120000000000005,30.762,29.248,28.423,30.643,36.674,44.748999999999995,42.765,34.646,25.564,27.991999999999997,38.607,Asia
Turkey,16.431124,23.966708999999998,29.3701,33.499194,31.23967,28.230069999999998,24.42662,24.69322,22.87686,37.114630000000005,41.50476,39.365277469999995,30.935094210000003,Asia
Mongolia,13.956862609231692,13.342100523723504,14.234446019147061,19.692480675487882,31.983801780134844,32.81824101940772,21.327932567165547,22.493900000000004,22.581899999999997,16.251,20.225299999999997,19.22085,19.382730000000002,Asia
Laos,5.488480919276929,4.3333289099006,6.763595998101608,7.187816267884976,5.5988671569590585,7.243038597205842,7.114446250657877,6.357543152885373,5.928626213568225,5.557250705559033,5.849716693985368,11.634393899199292,13.372876056394581,Asia
Other,44.625286276988845,45.13028088770727,46.13772128495691,45.8934688032856,47.06255295185554,48.09452427599888,47.460010116405556,46.09299999999996,48.50602300000003,51.13480900000013,47.912326773758195,47.48666932455728,49.736222061041644,Asia
Australia,256.71329595732595,258.6987188858266,250.44073621921734,267.0616096837435,274.0472167862217,279.1895678949947,287.69027679499453,292.531794229787,313.0283059645126,325.1483630706679,327.9515600959544,307.17018238070557,313.87248483120186,Oceania
Papua New Guinea,69.66893731550816,63.84625864221983,58.969858109199265,64.58253670645382,58.38637223576794,60.90166765021042,62.88350734121355,63.00946674746497,67.07323981928008,71.15202529819913,52.465277889344215,40.899261450223854,41.594766285616934,Oceania
New Zealand,12.065439845952536,11.22362297996309,9.677259837773315,11.839499761856231,10.758125198459618,11.674215888358674,9.60309760298882,9.038880541407014,9.262545640074862,7.830510483939921,5.4603633766269875,5.262762991167825,6.038919140821206,Oceania
Other,1.9793210216857915,3.433175266503156,3.57945491593091,3.1383143103953444,1.9941418281820802,1.5679930982630026,1.5500152889138121,1.5500152889138121,1.5500152889138121,1.5500152889138121,1.5500152889138121,1.5640152889138221,1.5640152889138221,Oceania
